Navn,Ferdigheter,Erfaring,Utdanning,AI_Test_Score,Total_Score,Generated_Question
Lars Nilsen,"Python, SQL, C++, React, Ledelse, AI",10,Master i utlandet,84,119,"Hei Lars Nilsen, gitt din erfaring med Python, SQL, C++, React, Ledelse, AI, hvordan ville du løst et problem med skalering?"
Erik Andersen,"AI, PowerPoint, Python, Excel, Jira",10,Master i utlandet,91,111,"Hei Erik Andersen, gitt din erfaring med AI, PowerPoint, Python, Excel, Jira, hvordan ville du løst et problem med skalering?"
Ingrid Olsen,"C++, Salg, AI, Ledelse, Markedsføring, Python",10,BI,81,101,"Hei Ingrid Olsen, gitt din erfaring med C++, Salg, AI, Ledelse, Markedsføring, Python, hvordan ville du løst et problem med skalering?"
Ola Nilsen,"AI, Python, Markedsføring, C++, SQL, Machine Learning",4,Master i utlandet,63,101,"Hei Ola Nilsen, gitt din erfaring med AI, Python, Markedsføring, C++, SQL, Machine Learning, hvordan ville du løst et problem med skalering?"
Ali Andersen,"Machine Learning, Python, React, AI, Java",7,UiO,62,101,"Hei Ali Andersen, gitt din erfaring med Machine Learning, Python, React, AI, Java, hvordan ville du løst et problem med skalering?"
Ingrid Hansen,"Excel, AI, Python, Java",11,Ingen utdanning,75,97,"Hei Ingrid Hansen, gitt din erfaring med Excel, AI, Python, Java, hvordan ville du løst et problem med skalering?"
Lars Nilsen,"Kundeservice, PowerPoint, AI, Python, HR",3,Høyskolen Kristiania,88,94,"Hei Lars Nilsen, gitt din erfaring med Kundeservice, PowerPoint, AI, Python, HR, hvordan ville du løst et problem med skalering?"
Pål Johansen,"React, Python, AI, Jira, SQL",11,NHH,55,92,"Hei Pål Johansen, gitt din erfaring med React, Python, AI, Jira, SQL, hvordan ville du løst et problem med skalering?"
Mohamed Hagen,"Salg, Excel, Jira, Python, AI, HR",3,UiO,73,89,"Hei Mohamed Hagen, gitt din erfaring med Salg, Excel, Jira, Python, AI, HR, hvordan ville du løst et problem med skalering?"
Nora Nilsen,"React, PowerPoint, Markedsføring, Python, AI",6,Master i utlandet,67,79,"Hei Nora Nilsen, gitt din erfaring med React, PowerPoint, Markedsføring, Python, AI, hvordan ville du løst et problem med skalering?"
